n    x(n)   c(n)  xhat(n) 
264    1.0       0.0      -1.8 
265    3.0       0.0       6.6 
266    1.0       0.0      -2.7 
267    3.0       0.0       5.8 
268    2.0       0.0      -3.4 
269    6.0       0.0       5.3 
270    7.0       0.0      12.3 
271    6.0       0.0       1.8 
272    4.0       0.0       9.4 
273    4.0       0.0      -0.4 
274    6.0       0.0       7.6 
275    7.0       0.0      14.1 
276    7.0       0.0       3.3 
277    5.0       0.0      10.6 
278    8.0       0.0       0.5 
279    7.0       0.0       8.4 
280    7.0       0.0      14.7 
281    9.0       0.0       3.8 
282    8.0       0.0      11.0 
283   10.0       0.0      16.8 
284   10.0       0.0       5.5 
285    9.0       0.0      12.4 
286    9.0       0.0       1.9 
287    9.0       0.0       9.5 
288    7.0       0.0      -0.4 
289    9.0       0.0       7.7 
290    8.0       0.0      14.2 
291    8.0       0.0       3.3 
292    7.0       0.0      10.7 
293    6.0       0.0       0.5 
294    4.0       0.0       8.4 
295    7.0       0.0      14.7 
296    8.0       0.0       3.8 
297    7.0       0.0      11.0 
298    5.0       0.0       0.8 
299    4.0       0.0       8.7 
300    3.0       0.0      -1.1 
301    3.0       0.0       7.1 
302    2.0       0.0      -2.3 
303    1.0       0.0       6.2 
304    0.0       0.0      -3.1 
305    4.0       0.0       5.5 
306    4.0       0.0      -3.6 
307    2.0       0.0       5.2 
308    4.0       0.0      -3.9 
309    5.0       0.0       4.9 
310    5.0       0.0      11.9 
311    6.0       0.0       1.5 
312    5.0       0.0       9.2 
313    4.0       0.0      -0.6 
314    3.0       0.0       7.5 
315    3.0       0.0      -2.0 
316    2.0       0.0       6.4 
317    1.0       0.0      -2.9 
318    3.0       0.0       5.7 
319    3.0       0.0      -3.4 
320    2.0       0.0       5.2 
321    1.0       0.0      -3.8 
322   -1.0       0.0       5.0 
323   -1.0       0.0      -4.0 
324   -3.0       0.0       4.8 
325   -5.0       0.0      -4.2 
326   -3.0       0.0       4.7 
327   -5.0       0.0      -4.3 
328   -1.0       0.0       4.6 
329   -3.0       0.0      -4.3 
330    0.0       0.0       4.5 
331   -1.0       0.0      -4.4 
332    0.0       0.0       4.5 
333    2.0       0.0      -4.4 
334    1.0       0.0       4.5 
335    1.0       0.0      -4.4 
336    0.0       0.0       4.5 
337    1.0       0.0      -4.4 
338   -1.0       0.0       4.5 
339    0.0       0.0      -4.4 
340   -2.0       0.0       4.5 
341    0.0       0.0      -4.4 
342   -5.0       0.0     -11.5 
343   -5.0       0.0      -1.2 
344   -7.0       0.0      -9.0 
345   -6.0       0.0       0.8 
346   -5.0       0.0      -7.4 
347   -3.0       0.0       2.1 
348   -2.0       0.0      -6.3 
349   -1.0       0.0       3.0 
350    1.0       0.0      -5.6 
351    0.0       0.0       3.5 
352   -1.0       0.0      -5.2 
353    1.0       0.0       3.8 
354    1.0       0.0      -4.9 
355   -2.0       0.0       4.1 
356   -2.0       0.0      -4.8 
357   -2.0       0.0       4.2 
358   -2.0       0.0      -4.6 
359    0.0       0.0       4.3 
360    1.0       0.0      -4.6 
361    2.0       0.0       4.3 
362    5.0       0.0      11.5 
363    7.0       0.0       1.2 
364    9.0       0.0       8.9 
365   11.0       0.0      15.2 
366    9.0       0.0       4.1 
367   10.0       0.0      11.3 
368   10.0       0.0      17.0 
369    9.0       0.0       5.6 
370    7.0       0.0      12.5 
371    6.0       0.0       2.0 
372    5.0       0.0       9.6 
373    5.0       0.0      -0.3 
374    1.0       0.0       7.7 
375    2.0       0.0      -1.8 
376    1.0       0.0       6.6 
377    0.0       0.0      -2.8 
378    1.0       0.0       5.8 
379   -2.0       0.0      -3.4 
380   -1.0       0.0       5.3 
381    0.0       0.0      -3.8 
382   -1.0       0.0       5.0 
383    0.0       0.0      -4.0 
384   -2.0       0.0       4.8 
385   -5.0       0.0      -4.2 
386   -1.0       0.0       4.7 
387   -5.0       0.0      -4.3 
388   -1.0       0.0       4.6 
389   -6.0       0.0      -4.3 
390   -5.0       0.0     -11.5 
391   -3.0       0.0      -1.2 
392   -7.0       0.0      -8.9 
393   -3.0       0.0       0.9 
394   -3.0       0.0      -7.3 
395   -2.0       0.0       2.1 
396   -1.0       0.0      -6.3 
397   -2.0       0.0       3.0 
398   -5.0       0.0      -5.6 
399   -5.0       0.0     -12.5 
400   -6.0       0.0      -2.0 
401   -1.0       0.0       6.4 
402   -5.0       0.0      -2.9 
403   -5.0       0.0     -10.3 
404   -4.0       0.0      -0.2 
405   -7.0       0.0      -8.2 
406   -3.0       0.0       1.4 
407   -7.0       0.0      -6.8 
408   -7.0       0.0     -13.5 
409   -8.0       0.0      -2.8 
410   -9.0       0.0     -10.2 
411  -10.0       0.0     -16.2 
412   -6.0       0.0      -4.9 
413   -5.0       0.0     -12.0 
414   -5.0       0.0      -1.6 
415   -1.0       0.0       6.7 
416    0.0       0.0      -2.6 
417    2.0       0.0       5.9 
418    5.0       0.0      12.7 
419    5.0       0.0       2.2 
420    5.0       0.0       9.8 
421    4.0       0.0      -0.2 
422    1.0       0.0       7.8 
423    1.0       0.0      -1.7 
424    0.0       0.0       6.6 
425   -1.0       0.0      -2.7 
426   -2.0       0.0       5.8 
427   -5.0       0.0      -3.3 
428   -5.0       0.0     -10.7 
429   -9.0       0.0     -16.5 
430   -9.0       0.0      -5.2 
431   -9.0       0.0     -12.2 
432  -10.0       0.0     -17.7 
433   -8.0       0.0      -6.2 
434   -8.0       0.0     -13.0 
435  -11.0       0.0     -18.4 
436   -7.0       0.0      -6.7 
437   -8.0       0.0     -13.4 
438   -8.0       0.0      -2.7 
439   -7.0       0.0     -10.1 
440   -5.0       0.0      -0.1 
441   -5.0       0.0      -8.1 
442   -5.0       0.0       1.5 
443   -5.0       0.0      -6.8 
444   -5.0       0.0       2.6 
445   -2.0       0.0      -5.9 
446    0.0       0.0       3.2 
447    1.0       0.0      -5.4 
448    4.0       0.0       3.7 
449    4.0       0.0      10.9 
450    5.0       0.0       0.8 
451    4.0       0.0       8.6 
452    5.0       0.0      -1.1 
453    4.0       0.0       7.1 
454    2.0       0.0      -2.3 
455    1.0       0.0       6.1 
456   -1.0       0.0      -3.1 
457   -5.0       0.0     -10.5 
458   -5.0       0.0      -0.4 
459   -8.0       0.0      -8.3 
460   -8.0       0.0     -14.6 
461  -10.0       0.0      -3.7 
462  -11.0       0.0     -11.0 
463  -11.0       0.0     -16.8 
464  -11.0       0.0      -5.4 
465  -12.0       0.0     -12.3 
466   -9.0       0.0      -1.9 
467   -6.0       0.0      -9.5 
468   -7.0       0.0       0.4 
469   -7.0       0.0      -7.7 
470   -6.0       0.0       1.9 
471   -5.0       0.0      -6.5 
472   -3.0       0.0       2.8 
473   -5.0       0.0      -5.8 
474   -2.0       0.0       3.4 
475   -5.0       0.0      -5.3 
476   -1.0       0.0       3.8 
477   -3.0       0.0      -5.0 
478   -5.0       0.0     -12.0 
479   -3.0       0.0      -1.6 
480   -7.0       0.0      -9.3 
481   -7.0       0.0       0.6 
482   -7.0       0.0      -7.5 
483   -6.0       0.0       2.0 
484   -6.0       0.0      -6.4 
485   -5.0       0.0       2.9 
486   -6.0       0.0      -5.7 
487   -7.0       0.0     -12.6 
488   -8.0       0.0      -2.1 
489   -5.0       0.0      -9.6 
490   -6.0       0.0       0.3 
491   -7.0       0.0      -7.8 
492   -5.0       0.0       1.8 
493   -5.0       0.0      -6.6 
494   -5.0       0.0       2.7 
495   -6.0       0.0      -5.8 
496   -2.0       0.0       3.4 
497   -6.0       0.0      -5.3 
498    0.0       0.0       3.7 
499   -3.0       0.0      -5.0 
500   -1.0       0.0       4.0 
501    0.0       0.0      -4.8 
502    0.0       0.0       4.2 
503    1.0       0.0      -4.7 
504    1.0       0.0       4.3 
505   -1.0       0.0      -4.6 
506    1.0       0.0       4.3 
507   -2.0       0.0      -4.5 
508    1.0       0.0       4.4 
509   -1.0       0.0      -4.5 
510    0.0       0.0       4.4 
511   -1.0       0.0      -4.5 
512    2.0       0.0       4.4 
513    2.0       0.0      -4.5 
514    2.0       0.0       4.4 
515    0.0       0.0      -4.5 
516    3.0       0.0       4.4 
517    1.0       0.0      -4.5 
518   -1.0       0.0       4.4 
519   -2.0       0.0      -4.5 
520   -1.0       0.0       4.4 
521   -5.0       0.0      -4.4 
522   -5.0       0.0     -11.6 
523   -7.0       0.0      -1.2 
524   -5.0       0.0      -9.0 
525   -6.0       0.0       0.8 
526   -5.0       0.0      -7.4 
527   -2.0       0.0       2.1 
528   -5.0       0.0      -6.3 
529    0.0       0.0       3.0 
530   -6.0       0.0      -5.6 
531   -3.0       0.0       3.5 
532   -6.0       0.0      -5.2 
533   -5.0       0.0     -12.2 
534   -8.0       0.0      -1.7 
535   -6.0       0.0      -9.4 
536   -6.0       0.0       0.5 
537   -8.0       0.0      -7.6 
538   -9.0       0.0     -14.1 
539   -8.0       0.0      -3.3 
540   -7.0       0.0     -10.6 
541   -6.0       0.0      -0.5 
542   -5.0       0.0      -8.4 
543   -5.0       0.0       1.3 
544   -2.0       0.0      -7.0 
545   -5.0       0.0       2.4 
546    1.0       0.0      -6.1 
547   -2.0       0.0       3.2 
548   -2.0       0.0      -5.5 
549   -1.0       0.0       3.6 
550   -3.0       0.0      -5.1 
551   -2.0       0.0       3.9 
552   -3.0       0.0      -4.9 
553   -2.0       0.0       4.1 
554   -2.0       0.0      -4.7 
555   -1.0       0.0       4.2 
556    0.0       0.0      -4.6 
557   -2.0       0.0       4.3 
558   -3.0       0.0      -4.6 
559   -1.0       0.0       4.4 
560    2.0       0.0      -4.5 
561    1.0       0.0       4.4 
562    0.0       0.0      -4.5 
563    2.0       0.0       4.4 
564    4.0       0.0      11.5 
565    4.0       0.0       1.2 
566    4.0       0.0       9.0 
567    2.0       0.0      -0.8 
568    2.0       0.0       7.3 
569    2.0       0.0      -2.1 
570    3.0       0.0       6.3 
571    2.0       0.0      -3.0 
572    1.0       0.0       5.6 
573    1.0       0.0      -3.5 
574    2.0       0.0       5.2 
575    2.0       0.0      -3.8 
576    0.0       0.0       4.9 
577    0.0       0.0      -4.1 
578    1.0       0.0       4.8 
579    3.0       0.0      -4.2 
580    4.0       0.0       4.6 
581    4.0       0.0      11.7 
582    5.0       0.0       1.4 
583    5.0       0.0       9.1 
584    5.0       0.0      -0.7 
585    5.0       0.0       7.4 
586    4.0       0.0      -2.1 
587    5.0       0.0       6.4 
588    4.0       0.0      -2.9 
589    4.0       0.0       5.7 
590    5.0       0.0      12.5 
591    4.0       0.0       2.0 
592    5.0       0.0       9.6 
593    5.0       0.0      -0.3 
594    4.0       0.0       7.8 
595    5.0       0.0      -1.8 
596    4.0       0.0       6.6 
597    6.0       0.0      13.3 
598    4.0       0.0       2.6 
599    4.0       0.0      10.1 
600    5.0       0.0       0.1 
601    5.0       0.0       8.1 
602    4.0       0.0      -1.6 
603    4.0       0.0       6.8 
604    5.0       0.0      -2.6 
605    4.0       0.0       5.9 
606    7.0       0.0      12.7 
607    7.0       0.0       2.2 
608    7.0       0.0       9.8 
609    4.0       0.0      -0.2 
610    7.0       0.0       7.8 
611    5.0       0.0      -1.7 
612    6.0       0.0       6.6 
613    4.0       0.0      -2.7 
614    6.0       0.0       5.8 
615    6.0       0.0      12.7 
616    6.0       0.0       2.1 
617    8.0       0.0       9.7 
618    9.0       0.0      15.8 
619   11.0       0.0       4.6 
620   11.0       0.0      11.7 
